,,,,,,
,19/01/13,PRE,Hibernian,1 - 1,Dundee,View events
,03/02/13,FAC,Hibernian,1 - 0,Aberdeen,View events
,11/02/13,PRE,Hibernian,1 - 3,St. Johnstone,View events
,27/02/13,PRE,Hibernian,2 - 2,Kilmarnock,View events
,10/03/13,PRE,Hibernian,0 - 0,Hearts,
,30/03/13,PRE,Hibernian,1 - 2,Inverness CT,View events
,13/04/13,FAC,Hibernian,E4 - 3,Falkirk,View events
,22/04/13,PRE,Hibernian,0 - 0,Aberdeen,
,27/04/13,PRE,Hibernian,3 - 3,St. Mirren,View events
,18/05/13,PRE,Hibernian,1 - 0,Dundee,View events
,26/05/13,FAC,Hibernian,0 - 3,Celtic,View events
,06/07/13,CLF,Hibernian,1 - 2,Nottingham Forest,
,25/07/13,UEL,Hibernian,0 - 7,Malmö FF,View events
,04/08/13,PRE,Hibernian,0 - 1,Motherwell,
,17/08/13,PRE,Hibernian,1 - 1,Dundee United,View events
,31/08/13,PRE,Hibernian,0 - 0,Ross County,
,21/09/13,PRE,Hibernian,2 - 0,St. Mirren,View events
,24/09/13,LEC,Hibernian,5 - 3,Stranraer,View events
,19/10/13,PRE,Hibernian,1 - 1,Celtic,View events
,26/10/13,PRE,Hibernian,0 - 2,Aberdeen,View events
,30/10/13,LEC,Hibernian,0 - 1,Hearts,View events
,09/11/13,PRE,Hibernian,0 - 2,Inverness CT,View events
,07/12/13,PRE,Hibernian,1 - 1,Partick Thistle,View events
,21/12/13,PRE,Hibernian,0 - 0,St. Johnstone,View events
,29/12/13,PRE,Hibernian,3 - 0,Kilmarnock,View events
,02/01/14,PRE,Hibernian,2 - 1,Hearts,View events
,18/01/14,PRE,Hibernian,2 - 3,St. Mirren,View events
,26/01/14,PRE,Hibernian,0 - 4,Celtic,View events
,08/02/14,FAC,Hibernian,2 - 3,Raith Rovers,View events
,15/02/14,PRE,Hibernian,2 - 1,Ross County,View events
,28/02/14,PRE,Hibernian,1 - 3,Dundee United,View events
,08/03/14,PRE,Hibernian,3 - 3,Motherwell,View events
,07/04/14,PRE,Hibernian,0 - 2,Aberdeen,View events
,27/04/14,PRE,Hibernian,1 - 2,Hearts,View events
,03/05/14,PRE,Hibernian,1 - 1,Partick Thistle,View events
,10/05/14,PRE,Hibernian,0 - 1,Kilmarnock,View events
,25/05/14,PL1,Hibernian,0 - 2P,Hamilton Academical,View events
,09/08/14,CHA,Hibernian,2 - 1,Livingston,View events
,23/08/14,CHA,Hibernian,0 - 1,Falkirk,View events
,26/08/14,LEC,Hibernian,3 - 2,Dumbarton,View events
,13/09/14,CHA,Hibernian,3 - 2,Cowdenbeath,View events
,04/10/14,CHA,Hibernian,1 - 1,Raith Rovers,View events
,11/10/14,CHA,Hibernian,0 - 0,Dumbarton,
,26/10/14,CHA,Hibernian,1 - 1,Hearts,View events
,29/10/14,LEC,Hibernian,3 - 3P,Dundee United,View events
,15/11/14,CHA,Hibernian,0 - 0,Queen of the South,
,13/12/14,CHA,Hibernian,2 - 0,Alloa Athletic,View events
,27/12/14,CHA,Hibernian,4 - 0,Rangers,View events
,10/01/15,CHA,Hibernian,3 - 3,Falkirk,View events
,17/01/15,CHA,Hibernian,5 - 0,Cowdenbeath,View events
,31/01/15,CHA,Hibernian,1 - 1,Raith Rovers,View events
,07/02/15,FAC,Hibernian,3 - 1,Arbroath,View events
,21/02/15,CHA,Hibernian,3 - 0,Dumbarton,View events
,08/03/15,FAC,Hibernian,4 - 0,Berwick Rangers,View events
